id,title,venue_id,date,start_time,end_time,kind,tickets,age,description,url,photo
missgeorgiapeach,Miss Georgia Peach,midwaysaloon,10/2/2026,6:30:00 PM,,music,General Admission,all ages,Miss Georgia Peach is an all star band of folk garage and punk TC musicians playing our originals and favorite HeeHaw songs,www.missgeorgiapeach.com,
martindevaney,Martin Devaney ,midwaysaloon,10/2/2026,7:30:00 PM,,music,General Admission,all ages,"Martin Devaney is a songwriter from St. Paul, MN with ten releases over the past twenty-five years. ",www.martindevaney.com,
popwagner,Pop Wagner,midwaysaloon,10/2/2026,8:30:00 PM,,music,General Admission,21+,,,
nickelstadtrio,Nick Elstad Trio,midwaysaloon,10/2/2026,9:30:00 PM,,music,General Admission,21+,"Nick Elstad Trio features Nick on guitar and vocals, Tyler Steinley on drums, and Christian Rasmussen on upright bass. The three blend americana, folk, and rock and roll. Picture a mossy log gently rolling down a hillside covered in the first frost of October. ",http://nickelstad.com,
redeyeruby,Red Eye Ruby,midwaysaloon,10/2/2026,10:30:00 PM,,music,General Admission,21+,"Red Eye Ruby is a Minneapolis-based retro roots-rock and neo-soul band blending the soulful grit of Amy Winehouse with the rhythmic pulse of New Orleans. Drawing from jazz, blues, folk, and R&B, their original music pairs vintage glow with modern bite, lush grooves, guitar-driven arrangements, and unflinching lyrics about womanhood, labor, resilience, and life in the male-dominated music industry. 

An established presence in the Twin Cities music scene, Red Eye Ruby has held residencies at Palmer’s Bar, The Hook and Ladder Theater, and the 331 Club. Their music has earned repeated Minnesota Public Radio recognition, with “Sunshine & Good Lookin’” featured by The Current in 2022 and “Burning Sunbeams” selected as an MPR News Song of the Day in 2026. Known for commanding, high-energy performances led by powerhouse vocals and expressive guitar work, Red Eye Ruby delivers a sound that feels both timeless and unmistakably current.",www.redeyeruby.com,
aestis,Aestis,midwaysaloon,10/3/2026,7:00:00 PM,,music,General Admission,all ages,We play progressive metal ,https://aestis.bandcamp.com/album/wake-again,
tree,Tree,midwaysaloon,10/3/2026,8:00:00 PM,,music,General Admission,all ages,"Tree is a lyrical power trio, specializing in alternative rock, drawing from grunge and Midwest emo. Punks and funks from Saint Paul. ",https://www.instagram.com/treebandmn?igsh=N3F5emZ5NXdjaXhi&utm_source=qr,
danrumseytrio,Dan Rumsey Trio,midwaysaloon,10/3/2026,9:00:00 PM,,music,General Admission,21+,"St. Paul native, Dan Rumsey is a soulful & bluesy songwriter, vocalist and multi-instrumentalist. He writes about the challenges, joys, heartaches and persistence of the human spirit. ",https://danrumseymusic.com/,
emandthegems,Em and the Gems,midwaysaloon,10/3/2026,10:00:00 PM,,music,General Admission,21+,"We are four veteran musicians returning to writing and performing original music after stints in cover bands. Audiences love our energy, variety, musicianship, and exceptional vocals.",emandthegems.com,
smokin'joe,Smokin' Joe,midwaysaloon,10/4/2026,6:00:00 PM,,music,General Admission,all ages,"Smokin’ Joe (Joe Scarpellino) is a high-energy paradoxical musical dynamo specializing in heartfelt cerebral lyrics and dark-electro funk-rock grooves. Joe is known for deeply connecting with his audience through his catchy and thought-provoking songwriting style. While his honest and passionate songwriting may bring many of his fans to tears, it’s his seductive beats and funkadelic bass lines that get every booty on the dance floor.",www.smokinjoeonline.com,
